,ID,Region,Regulated Dam,Primary Purpose,Primary Type,Height (m),Length (km),Volume (m3),Year Completed,Years Modified,Surface (km2),Drainage (km2),Spillway,Last Inspection Date,Inspection Frequency,Distance to Nearest City (km),Hazard,Assessment,Assessment Date,Probability of Failure,Loss given failure - prop (Qm),Loss given failure - liab (Qm),Loss given failure - BI (Qm)
7104,SOAD18736,Lyndrassia,No,Flood Risk Reduction,Earth,9.362,0.243,22161.0,2007.0,,0.05122,1496.76898,Uncontrolled,,0.0,,Low,Not Rated,,0.1044,14.9,10.3,
7110,SOAD01559,Lyndrassia,No,Flood Risk Reduction,Earth,10.747,0.183,299389.0,1994.0,,0.0394,1547.37149,Uncontrolled,,0.0,,Low,Not Rated,,0.0739,16.0,13.4,
7113,SOAD02344,Navaldia,Yes,Flood Risk Reduction,Concrete,3.406,0.667,,1967.0,1994O,0.14381,133.1645,Uncontrolled,25/09/2018,5.0,0.0,High,Satisfactory,04/04/2019,0.0599,15.3,863.8,
7116,SOAD03836,Navaldia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,5.637,0.123,,1967.0,,0.0,0.0,,,,,Low,Not Rated,18/06/2014,0.0793,35.7,6.8,
7119,SOAD05518,Flumevale,Yes,Hydroelectric,Concrete,26.285,0.096,6940.0,1913.0,,0.03349,785.6705499999999,Controlled,21/09/2022,3.0,,Low,Satisfactory,29/09/2023,0.0764,13.0,23.6,
7122,SOAD06474,Navaldia,Yes,Flood Risk Reduction,Earth,14.554,0.171,34706.0,1975.0,,0.04925,2.66329,Uncontrolled,,,24.76,Low,Not Rated,18/06/2014,0.1145,39.3,315.1,
7125,SOAD07376,Flumevale,Yes,Flood Risk Reduction,Earth,9.4,0.208,18230.0,1960.0,,0.08077,13.31645,Uncontrolled,11/04/2018,3.0,36.3,Low,Satisfactory,11/08/2016,0.071,29.3,188.2,
7127,SOAD07435,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,3.439,0.1,,1955.0,,,,,,,19.4,Low,,,0.0919,7.1,350.7,
7128,SOAD07673,Navaldia,Yes,,Earth,6.115,0.195,,1968.0,,0.0,0.0,,,,,Low,Not Rated,18/06/2014,0.1121,27.7,19.0,
7130,SOAD09191,Lyndrassia,No,Flood Risk Reduction,Earth,9.845,0.227,22634.0,1998.0,,0.00788,2990.87467,Uncontrolled,01/10/1999,1.0,,Low,Not Rated,,0.1131,22.4,8.6,
7133,SOAD10011,Lyndrassia,Yes,Other,Earth,13.39,0.137,24600.0,1977.0,,0.06895,2.66329,Uncontrolled,07/08/2018,5.0,0.0,Low,Satisfactory,31/12/2013,0.0516,16.7,446.8,
7141,SOAD14375,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,7.16,0.133,,1959.0,,,,,,,24.39,Low,,,0.1196,18.9,166.8,
7142,SOAD14406,Navaldia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,9.046,0.145,,1963.0,,0.0,13422.9816,,,,,Low,Not Rated,18/06/2014,0.0735,42.0,14.7,
7143,SOAD14446,Navaldia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,4.799,0.163,,1958.0,,0.10047,0.0,,23/02/1988,,,Low,Not Rated,18/06/2014,0.1029,31.7,21.1,
7144,SOAD15676,Lyndrassia,No,Grade Stabilization,Earth,9.494,0.217,29100.0,1975.0,,0.05713,1528.72846,Uncontrolled,30/06/1980,0.0,,Low,Not Rated,,0.0952,33.5,10.6,
7146,SOAD16046,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,10.831,0.067,,1956.0,,,,,,,28.99,Low,,,0.0818,22.8,443.1,
7147,SOAD16068,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,8.466,0.233,,1960.0,,,,,,,32.18,Low,,,0.0974,7.3,61.6,
7149,SOAD16877,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,6.861,0.2,,1954.0,,,,,,,96.64,Low,,,0.119,9.8,96.4,
7150,SOAD17580,Navaldia,Yes,Other,Earth,8.37,0.327,,1981.0,,0.0,0.0,,17/03/1981,,3.36,Low,Not Rated,18/06/2014,0.0791,44.8,245.9,
7151,SOAD18064,Navaldia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,6.861,0.263,,1974.0,,0.05713,0.0,,,,,Low,Not Rated,18/06/2014,0.076,35.7,16.2,
7152,SOAD18887,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,7.33,0.088,,1960.0,,,13.31645,Uncontrolled,,,24.86,Low,,,0.0884,19.2,364.6,
7154,SOAD19372,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,6.346,0.083,,1950.0,,,7.98987,,,,0.0,Low,,,0.1164,13.2,129.0,
7156,SOAD00019,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,5.261,0.067,,1962.0,,,,,,,83.96,Low,,,0.1154,19.5,187.1,
7157,SOAD00608,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,9.042,0.067,,1960.0,,,,,,,9.4,Low,,,0.0677,6.8,199.1,
7159,SOAD00883,Lyndrassia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,7.12,,0.0,1960.0,,0.08471,1094.61219,,,0.0,14.46,Low,Not Rated,,0.0854,43.0,106.0,
7161,SOAD01255,Lyndrassia,No,Grade Stabilization,Earth,8.343,0.13,9781.0,1979.0,,0.02561,1171.8476,Uncontrolled,,0.0,,Low,Not Rated,,0.1117,40.1,14.7,
7162,SOAD03102,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,3.638,0.047,,1950.0,,,2.66329,Uncontrolled,,,1.63,Low,,,0.1157,14.7,539.5,
7163,SOAD04870,Lyndrassia,No,Flood Risk Reduction,Earth,10.168,0.16,17180.0,1994.0,,0.0394,1099.93877,Uncontrolled,11/09/1999,1.0,,Low,Not Rated,,0.0627,24.6,8.7,
7167,SOAD06505,Lyndrassia,No,Fish and Wildlife Pond,Earth,8.959,0.167,25000.0,1965.0,,0.08471,1371.59435,Uncontrolled,,0.0,,Low,Not Rated,,0.1008,22.4,10.0,
7168,SOAD07377,Navaldia,Yes,,Earth,2.335,0.5,,1960.0,2005O,0.06107,42.61264,Uncontrolled,01/11/2018,5.0,,High,Fair,28/01/2019,0.0647,31.8,679.8,
7170,SOAD07697,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,7.322,0.067,,1957.0,,0.08471,,,,,82.96,Low,,,0.1047,35.3,168.5,
7171,SOAD07874,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,6.778,0.042,,1958.0,,,,,,,55.49,Low,,,0.0974,5.8,128.9,
7172,SOAD07924,Lyndrassia,No,Other,Earth,7.433,,0.0,1968.0,,0.07683,540.64787,,25/06/1979,0.0,14.64,High,Not Rated,,0.1217,41.7,101.5,
7173,SOAD08321,Lyndrassia,No,,Gravity,8.816,0.227,27000.0,,,0.12017,2.66329,Uncontrolled,01/09/2017,5.0,,Low,Unsatisfactory,01/09/2017,0.1074,24.4,5.3,
7179,SOAD10053,Lyndrassia,Yes,Other,Earth,2.721,0.5,,1960.0,,,,,,,1.64,Low,,,0.065,19.1,913.1,
7181,SOAD10413,Navaldia,Yes,,Earth,3.711,0.29,,1979.0,,0.04728,0.0,,,,6.18,Low,Not Rated,18/06/2014,0.0827,25.2,395.9,
7187,SOAD12325,Navaldia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,9.955,0.117,,1964.0,,0.04334,0.0,,,,,Low,Not Rated,18/06/2014,0.0961,22.4,12.3,
7189,SOAD12457,Flumevale,Yes,Flood Risk Reduction,Earth,14.308,0.275,37847.0,1958.0,,0.06698,0.0,Uncontrolled,05/10/2020,3.0,9.88,Low,Not Rated,,0.0684,37.9,458.7,
7190,SOAD12581,Lyndrassia,No,Grade Stabilization,Earth,8.571,0.18,18895.0,1971.0,,0.06895,1211.79695,Uncontrolled,,0.0,,Low,Not Rated,,0.0773,14.6,16.7,
7191,SOAD12598,Lyndrassia,No,Flood Risk Reduction,Earth,5.364,0.242,19255.0,1996.0,,0.00788,753.71107,Uncontrolled,,0.0,,Low,Not Rated,,0.095,44.4,12.0,
7194,SOAD13488,Navaldia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,27.499,0.224,7892.0,1973.0,,0.05122,0.0,,,,,Low,Not Rated,18/06/2014,0.1189,26.3,8.1,
7195,SOAD13691,Lyndrassia,No,,,10.931,0.123,0.0,,,0.02167,4303.87664,Uncontrolled,,0.0,7.29,High,Not Rated,,0.0698,30.7,303.0,
7196,SOAD13926,Lyndrassia,No,Flood Risk Reduction,Earth,8.84,0.173,20414.0,2007.0,,0.07486,1877.61945,Uncontrolled,,0.0,,Low,Not Rated,,0.0692,28.8,15.6,
7198,SOAD14480,Navaldia,No,,Earth,7.553,0.123,,1965.0,,0.0,0.0,,,,,Low,Not Rated,18/06/2014,0.1159,26.4,13.5,
7199,SOAD14602,Lyndrassia,No,Fish and Wildlife Pond,Earth,8.948,0.304,26171.0,1984.0,,0.02561,1435.51331,Uncontrolled,,0.0,,Low,Not Rated,,0.111,12.3,20.3,
7203,SOAD15194,Navaldia,No,,Earth,4.072,0.333,,1974.0,,0.11229,0.0,,,,,Low,Not Rated,18/06/2014,0.061,37.7,12.1,
7204,SOAD15454,Lyndrassia,No,Flood Risk Reduction,Earth,9.11,0.19,21200.0,1989.0,,0.04925,2162.59148,Uncontrolled,,0.0,,Low,Not Rated,,0.078,44.8,21.1,
7205,SOAD15896,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,8.273,0.1,,1966.0,,,,,,,52.9,Low,,,0.0875,22.8,88.9,
7208,SOAD17555,Flumevale,Yes,Flood Risk Reduction,Earth,13.837,0.083,33500.0,1949.0,,0.06107,13.31645,,10/08/2022,1.0,0.0,High,Satisfactory,01/09/2017,0.0906,27.0,125.0,
7211,SOAD19450,Lyndrassia,Yes,Other,Earth,8.88,0.682,0.0,2007.0,,0.0453099999999999,0.0,,,0.0,,Low,,,0.0723,12.7,9.8,
7213,SOAD20403,Lyndrassia,Yes,Flood Risk Reduction,Earth,9.883,0.13,17801.0,1970.0,,0.04137,5.32658,Uncontrolled,05/12/2001,1.0,6.63,Low,,,0.1148,22.2,362.2,
7214,SOAD20621,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,4.136,0.1,,1950.0,,,,,,,15.69,Low,,,0.1149,12.1,227.1,
7216,SOAD20805,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,9.964,0.083,,1972.0,,,21.30632,,,,61.34,Low,,,0.1114,13.5,124.7,
7217,SOAD00096,Navaldia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,7.3,0.222,,1965.0,,0.05122,0.0,,,,,Low,Not Rated,18/06/2014,0.1185,12.1,22.8,
7218,SOAD00113,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,5.277,0.037,,1949.0,,,,,,,48.61,Low,,,0.0906,9.9,108.7,
7221,SOAD03139,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,11.726,0.1,,1950.0,,0.07683,,,,,0.0,Low,,,0.0642,31.0,670.2,
7222,SOAD03319,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,9.302,0.12,,1968.0,,,23.96961,Uncontrolled,,,39.52,Low,,,0.0866,15.6,180.8,
7224,SOAD03426,Lyndrassia,No,Flood Risk Reduction,Earth,11.976,0.171,288700.0,2003.0,,0.05122,1850.98655,Uncontrolled,13/11/2003,1.0,,Low,Not Rated,,0.0636,45.0,21.6,
7225,SOAD03487,Lyndrassia,No,Flood Risk Reduction,Earth,8.898,0.191,15907.0,1992.0,,0.02561,1126.57167,Uncontrolled,06/10/1999,1.0,,Low,Not Rated,,0.0959,43.9,10.3,
7228,SOAD04273,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,5.333,0.06,,1952.0,,,,,,,4.7,Low,,,0.1248,7.3,882.3,
7230,SOAD04938,Navaldia,No,,Earth,9.01,0.03,,,,0.0,37.28606,,22/08/1983,,,Low,Not Rated,18/06/2014,0.0773,43.2,13.2,
7231,SOAD05602,Navaldia,No,,Earth,8.533,0.733,,,,0.08668,2.66329,,,,,Low,Not Rated,18/06/2014,0.0846,46.5,21.9,
7234,SOAD06146,Navaldia,No,,Earth,9.103,0.0,,2007.0,,0.05713,0.0,,26/09/2007,,10.72,Low,Not Rated,18/06/2014,0.1041,45.4,440.5,
7235,SOAD06193,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,7.392,0.041,,1969.0,,,87.88857,,,,31.91,Low,,,0.0979,12.8,200.8,
7236,SOAD06437,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,3.587,0.1,,1920.0,,,,,,,0.0,Low,,,0.0995,4.9,304.4,
7238,SOAD06652,Lyndrassia,No,Other,Earth,8.401,,0.0,,,0.06501,1323.65513,,,0.0,0.0,Low,Not Rated,,0.114,6.7,398.4,
7239,SOAD07029,Lyndrassia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,11.514,,0.0,1952.0,,0.05319,223.71636,,,0.0,13.85,High,Not Rated,,0.1282,28.1,443.7,
7240,SOAD07706,Navaldia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,6.751,0.227,,1960.0,,0.0,5667.48112,,,,,Low,Not Rated,18/06/2014,0.0642,19.3,23.8,
7241,SOAD08154,Flumevale,No,Fish and Wildlife Pond,Earth,6.092,0.05,1671.0,1929.0,,0.0,7.98987,Uncontrolled,17/07/2017,10.0,6.13,Low,Not Rated,,0.0654,25.1,390.7,
7242,SOAD08183,Lyndrassia,No,Grade Stabilization,Earth,8.01,0.167,11384.0,1975.0,,0.09653,3030.82402,Uncontrolled,,0.0,,Low,Not Rated,,0.0892,31.1,14.0,
7244,SOAD08457,Lyndrassia,Yes,Flood Risk Reduction,Earth,15.459,0.133,40400.0,1973.0,,0.06107,7.98987,Uncontrolled,27/04/2021,5.0,1.58,Low,Satisfactory,18/01/2017,0.0232,33.2,694.2,
7245,SOAD08592,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,6.027,0.16,,1954.0,,,,,,,12.63,Low,,,0.1165,13.1,244.0,
7246,SOAD08874,Lyndrassia,No,Flood Risk Reduction,Earth,9.663,0.173,14905.0,2002.0,,0.00788,860.24267,Uncontrolled,01/11/2002,1.0,,Low,Not Rated,,0.0633,39.9,16.8,
7247,SOAD08956,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,6.807,0.04,,1954.0,,,13.31645,Uncontrolled,,,29.53,Low,,,0.1302,22.0,326.9,
7249,SOAD09950,Lyndrassia,Yes,,Earth,32.552,0.175,88000.0,1999.0,1998,0.15366,0.0,Uncontrolled,11/05/2022,3.0,0.0,High,Satisfactory,20/06/2012,0.0867,27.6,906.2,
7253,SOAD11532,Navaldia,No,,Earth,6.893,0.247,,,,0.01773,5.32658,Uncontrolled,14/09/2020,4.0,14.35,Low,Fair,14/09/2020,0.0457,41.8,367.8,
7255,SOAD13271,Navaldia,Yes,,Earth,2.882,0.679,22.63,2002.0,2018S,0.16548,2.66329,Uncontrolled,27/09/2021,5.0,,Significant,Satisfactory,02/02/2022,0.095,39.6,28.5,
7256,SOAD13358,Lyndrassia,No,Flood Risk Reduction,Earth,9.45,0.197,22410.0,1986.0,,0.0925899999999999,2146.61174,Uncontrolled,,0.0,,Low,Not Rated,,0.0903,41.4,10.2,
7257,SOAD13397,Navaldia,Yes,,Earth,5.435,0.133,,2008.0,,0.10835,5.32658,Uncontrolled,04/12/2018,2.0,,High,Unsatisfactory,23/05/2022,0.1204,44.0,567.2,
7260,SOAD13861,Lyndrassia,Yes,Other,Earth,17.602,0.067,,1939.0,,,,,,,31.39,Low,,,0.1188,10.9,93.4,
7261,SOAD13970,Lyndrassia,No,Other,Earth,11.535,0.133,15500.0,1996.0,,0.04925,1589.98413,Uncontrolled,,1.0,,Low,Not Rated,,0.1099,28.5,13.8,
7263,SOAD14283,Lyndrassia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,9.112,,0.0,1976.0,,0.06698,1656.56638,,,0.0,0.0,High,Not Rated,,0.0967,6.7,593.6,
7264,SOAD14557,Flumevale,Yes,Flood Risk Reduction,Earth,7.446,0.333,0.0,1990.0,,0.09653,0.0,Uncontrolled,09/06/2021,6.0,7.93,Low,Not Rated,,0.0435,35.7,370.4,
7265,SOAD14792,Navaldia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,9.015,0.103,,1970.0,,0.0,5909.84051,,,,,Low,Not Rated,18/06/2014,0.0724,23.9,11.1,
7266,SOAD16094,Navaldia,No,,Earth,6.243,0.267,,1961.0,,0.09456,0.0,,,,,Low,Not Rated,18/06/2014,0.1144,15.8,16.3,
7267,SOAD16343,Lyndrassia,No,Debris Control,Earth,8.796,,0.0,1970.0,,0.06501,263.66571,,,0.0,39.34,Low,Not Rated,,0.1147,12.9,205.1,
7268,SOAD17335,Flumevale,Yes,,,3.636,0.517,,2021.0,,0.06698,0.0,Controlled,,6.0,,Low,Fair,16/10/2015,0.0466,33.5,6.6,
7274,SOAD18536,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,5.72,0.08,,1960.0,,,,,,,39.08,Low,,,0.0968,14.0,204.4,
7278,SOAD19545,Flumevale,Yes,Flood Risk Reduction,Earth,8.597,0.197,,1964.0,,0.06895,7.98987,,13/05/1998,6.0,0.0,Low,Satisfactory,23/07/2019,0.0531,32.3,601.0,
7279,SOAD20035,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,5.495,0.058,,1958.0,,,,,,,0.0,Low,,,0.097,5.2,722.1,
7281,SOAD20659,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,8.731,0.067,,1964.0,,,15.97974,,,,59.89,Low,,,0.1112,21.5,208.3,
7283,SOAD00453,Lyndrassia,No,Fish and Wildlife Pond,Earth,7.455,0.215,15465.0,1973.0,,0.13396,2008.12066,Uncontrolled,,0.0,,Low,Not Rated,,0.0786,8.8,14.3,
7287,SOAD01345,Navaldia,No,,Earth,6.529,0.2,,1970.0,,0.0,0.0,,,,,Low,Not Rated,18/06/2014,0.1103,7.1,11.0,
7291,SOAD03341,Lyndrassia,No,Flood Risk Reduction,Earth,11.026,0.16,24477.0,1994.0,,0.04334,1155.86786,Uncontrolled,01/08/1994,0.0,,Low,Not Rated,,0.0874,26.4,16.9,
7292,SOAD03649,Navaldia,No,,Earth,5.657,0.233,25000.0,,2012O,0.10047,5.32658,Uncontrolled,23/05/2012,,85.42,Low,Not Rated,23/05/2017,0.102,28.2,101.9,
7295,SOAD05740,Lyndrassia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,8.516,,0.0,1959.0,,0.06304,439.44285,,,0.0,0.0,Low,Not Rated,,0.1035,40.9,769.6,
7297,SOAD05872,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,5.11,0.092,,1956.0,,,37.28606,Uncontrolled,,,16.85,Low,,,0.0943,6.3,437.0,
7299,SOAD06189,Lyndrassia,No,Flood Risk Reduction,Earth,9.362,0.15,15989.0,2001.0,,0.04137,351.55428,Uncontrolled,03/12/2001,1.0,,Low,Not Rated,,0.0712,25.9,17.7,
7300,SOAD06292,Navaldia,Yes,Fish and Wildlife Pond,Earth,4.224,0.257,,1900.0,1998S;2001S;2002S,0.10835,26.6329,Uncontrolled,10/01/2018,5.0,,Low,Poor,10/01/2018,0.0831,11.7,6.1,
7301,SOAD06838,Flumevale,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,6.406,0.292,0.0,1950.0,,0.08077,7.98987,Uncontrolled,18/10/2022,6.0,6.56,Low,Unsatisfactory,25/05/2018,0.0706,46.8,175.0,
7302,SOAD07445,Flumevale,Yes,Tailings,Other,15.331,0.41,41726.0,1936.0,,0.13593,0.0,Uncontrolled,25/09/2013,6.0,0.0,Low,Not Rated,,0.081,11.6,833.2,
7304,SOAD08022,Lyndrassia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,9.557,,0.0,1932.0,,0.05713,631.1997299999999,,,0.0,0.0,High,Not Rated,,0.122,20.4,229.3,
7306,SOAD08907,Navaldia,No,,Earth,4.233,0.213,,1969.0,,0.08274,0.0,,,,,Low,Not Rated,18/06/2014,0.0983,10.3,10.0,
7308,SOAD09153,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,10.779,0.067,,1962.0,,,,,,,3.09,Low,,,0.1102,10.0,589.8,
7312,SOAD11512,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,4.049,0.167,,1944.0,,,,,,,51.2,Low,,,0.1125,20.7,121.5,
7313,SOAD11644,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,5.229,0.058,,1953.0,,,,,,,55.3,Low,,,0.0887,10.4,187.8,
7315,SOAD12276,Flumevale,Yes,,Earth,3.435,0.15,,,,,,Uncontrolled,21/10/2017,6.0,,Low,Not Rated,,0.0785,5.4,16.6,
7316,SOAD12590,Lyndrassia,No,Debris Control,Earth,8.49,,0.0,1960.0,,0.06698,1251.7463,,,0.0,0.0,High,Not Rated,,0.0968,46.3,470.2,
7318,SOAD13254,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,6.112,0.108,,1966.0,,,,,,,29.72,Low,,,0.1222,10.6,184.0,
7320,SOAD13495,Navaldia,Yes,,Earth,8.335,0.29,,1964.0,2008S;2011S,0.09653,5.32658,Uncontrolled,11/07/2019,5.0,,High,Fair,28/02/2020,0.0848,7.6,881.3,
7321,SOAD13784,Lyndrassia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,6.667,,0.0,1957.0,,0.08274,561.95419,,,0.0,0.0,High,Not Rated,,0.1248,47.2,375.6,
7324,SOAD17333,Navaldia,Yes,Flood Risk Reduction,Earth,6.351,0.367,,2000.0,,0.0,2.66329,Uncontrolled,09/03/2023,5.0,,High,Satisfactory,25/08/2023,0.0546,23.8,746.5,
7325,SOAD17483,Lyndrassia,No,Flood Risk Reduction,Earth,11.114,0.127,17950.0,1990.0,,0.03349,964.11098,Uncontrolled,17/05/1991,0.0,,Low,Not Rated,,0.0902,45.5,12.3,
7326,SOAD17795,Lyndrassia,No,Fish and Wildlife Pond,Earth,8.603,0.15,19873.0,1980.0,,0.20094,6391.896,Uncontrolled,,0.0,,Low,Not Rated,,0.0935,15.3,9.9,
7330,SOAD18844,Lyndrassia,No,Debris Control,Earth,8.027,,0.0,1977.0,,0.07683,463.41246,,,0.0,0.0,Low,Not Rated,,0.0778,7.7,461.3,
7334,SOAD19435,Lyndrassia,No,Grade Stabilization,Earth,10.512,0.155,21081.0,1997.0,,0.00788,1965.50802,Uncontrolled,14/07/1997,0.0,,Low,Not Rated,,0.0716,12.9,16.2,
7335,SOAD19759,Lyndrassia,No,Fish and Wildlife Pond,Earth,10.456,0.1,14000.0,1972.0,,0.00788,1137.22483,Uncontrolled,30/01/1981,0.0,,Low,Not Rated,,0.093,29.4,13.0,
7336,SOAD19810,Lyndrassia,No,Flood Risk Reduction,Earth,8.953,0.25,35000.0,1966.0,,0.05122,6370.58968,Uncontrolled,,0.0,,Low,Not Rated,,0.1073,14.0,4.9,
7337,SOAD20097,Navaldia,No,Other,Earth,6.776,0.334,22456.0,1984.0,,0.0,0.0,,,,,Low,Not Rated,18/06/2014,0.078,41.8,20.2,
7338,SOAD20108,Lyndrassia,No,Flood Risk Reduction,Earth,9.394,0.15,15835.0,1986.0,,0.0394,790.99713,Uncontrolled,,0.0,,Low,Not Rated,,0.0956,45.2,7.1,
7340,SOAD20685,Navaldia,No,Other,Earth,9.989,0.217,,1975.0,,0.0,0.0,,08/02/1977,,,Low,Not Rated,18/06/2014,0.1057,19.9,11.2,
7342,SOAD01707,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,8.765,0.145,,1939.0,,,,,,,50.64,Low,,,0.064,5.7,138.8,
7346,SOAD02644,Navaldia,Yes,Flood Risk Reduction,Earth,16.648,0.317,46400.0,1963.0,,0.05122,2.66329,,,,13.4,Low,Not Rated,18/06/2014,0.0973,45.3,329.5,
7348,SOAD03177,Navaldia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,6.755,0.167,,1959.0,,0.0,0.0,,,,,Low,Not Rated,18/06/2014,0.081,34.6,6.8,
7350,SOAD03461,Lyndrassia,No,Flood Risk Reduction,Earth,10.949,0.178,23913.0,1993.0,,0.07683,6935.20716,Uncontrolled,,0.0,,Low,Not Rated,,0.081,26.8,5.2,
7353,SOAD04746,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,6.885,0.132,,1950.0,,,,Uncontrolled,,,21.45,Low,,,0.0995,13.8,166.2,
7354,SOAD05823,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,6.614,0.22,,1905.0,,,,,,,23.51,Low,,,0.09,18.3,394.6,
7355,SOAD06068,Navaldia,No,Other,Earth,7.829,0.0,,1922.0,,0.0,0.0,,18/11/1971,,,Low,Not Rated,18/06/2014,0.0626,45.2,7.2,
7359,SOAD07820,Lyndrassia,No,"Fire Protection, Stock, Or Small Fish Pond",Gravity,6.655,0.06,4092.56,2003.0,,0.16548,5.32658,,09/11/2019,5.0,79.03,Low,Not Rated,,0.0753,28.1,231.4,
7360,SOAD07828,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,6.344,0.033,,1936.0,,,,,,,40.74,Low,,,0.0839,8.0,106.5,
7361,SOAD08143,Lyndrassia,No,Flood Risk Reduction,Earth,12.547,0.157,11025.0,1986.0,,0.03349,1736.46508,Uncontrolled,,0.0,,Low,Not Rated,,0.0831,37.4,13.4,
7362,SOAD08243,Flumevale,Yes,Fish and Wildlife Pond,Earth,7.114,0.133,1600.0,1889.0,,0.05713,0.0,Uncontrolled,29/08/2019,6.0,60.03,Low,Not Rated,,0.063,47.1,101.9,
7364,SOAD08471,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,10.174,0.3,,1919.0,,,,,,,78.05,Low,,,0.0983,8.5,140.4,
7365,SOAD08584,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,7.17,0.067,,1903.0,,,45.27593,,,,54.46,Low,,,0.1079,21.5,73.0,
7366,SOAD08927,Lyndrassia,No,Flood Risk Reduction,Earth,7.465,0.211,20485.0,1996.0,,0.05122,1219.78682,Uncontrolled,,0.0,,Low,Not Rated,,0.0965,35.0,6.8,
7367,SOAD09033,Navaldia,Yes,Flood Risk Reduction,Earth,7.591,0.29,,1968.0,,0.05319,0.0,,,,,Low,Not Rated,18/06/2014,0.0977,24.3,18.6,
7368,SOAD09202,Lyndrassia,No,Flood Risk Reduction,Earth,9.803,0.137,22690.0,1988.0,,0.03349,836.27306,Uncontrolled,,0.0,,Low,Not Rated,,0.0887,28.0,9.3,
7369,SOAD10000,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,4.003,0.05,,1965.0,,,15.97974,,,,36.7,Low,,,0.121,21.0,74.0,
7371,SOAD10155,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,6.003,0.05,,1948.0,,,,,,,58.17,Low,,,0.108,11.9,200.9,
